     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.36901E+00   0.21369E-01   0.12619E+01   0.11348E-02   0.54922E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.37454E+00   0.19440E-01   0.12514E+01   0.10942E-02   0.47383E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.38015E+00   0.17634E-01   0.12407E+01   0.10539E-02   0.40713E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.38585E+00   0.15949E-01   0.12300E+01   0.10141E-02   0.34833E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.39164E+00   0.14382E-01   0.12191E+01   0.97463E-03   0.29673E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.39751E+00   0.12927E-01   0.12080E+01   0.93569E-03   0.25164E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.40347E+00   0.11582E-01   0.11969E+01   0.89726E-03   0.21240E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.40952E+00   0.10342E-01   0.11856E+01   0.85937E-03   0.17842E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.41565E+00   0.92028E-02   0.11742E+01   0.82206E-03   0.14913E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.42189E+00   0.81596E-02   0.11626E+01   0.78535E-03   0.12400E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.42821E+00   0.72077E-02   0.11509E+01   0.74929E-03   0.10255E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.43463E+00   0.63422E-02   0.11391E+01   0.71389E-03   0.84348E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.44114E+00   0.55584E-02   0.11272E+01   0.67919E-03   0.68975E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.44776E+00   0.48512E-02   0.11151E+01   0.64522E-03   0.56067E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.45447E+00   0.42157E-02   0.11028E+01   0.61200E-03   0.45292E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.46128E+00   0.36470E-02   0.10904E+01   0.57956E-03   0.36352E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.46820E+00   0.31404E-02   0.10778E+01   0.54792E-03   0.28981E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.47522E+00   0.26911E-02   0.10651E+01   0.51711E-03   0.22943E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.48234E+00   0.22944E-02   0.10522E+01   0.48714E-03   0.18032E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.48957E+00   0.19460E-02   0.10392E+01   0.45805E-03   0.14064E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.49691E+00   0.16414E-02   0.10259E+01   0.42984E-03   0.10883E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
